secao,papel,origem_eleitor,aptos,mrv,mesa_numero_eleitor,parede,entrada,porta
0511,principal,Dublin,400,1,19,leste,C,S6
0512,principal,Dublin,400,2,10,norte,B,S5
0513,principal,Dublin,400,3,6,oeste,A,S4
0517,principal,Dublin,400,4,20,leste,C,S6
0518,agregada,Outros Locais Da Irlanda,370,18,16,norte,B,S5
0519,agregada,Cork,384,15,25,leste,C,S6
0521,agregada,Galway,370,17,15,norte,B,S5
0522,agregada,Donegal,62,6,7,oeste,A,S4
0527,agregada,Clare,173,13,23,leste,C,S6
0530,agregada,Westmeath,278,12,9,oeste,A,S4
1099,agregada,Kerry,54,7,22,leste,C,S6
1100,agregada,Roscommon,182,1,19,leste,C,S6
1105,agregada,Mayo,102,3,6,oeste,A,S4
1160,principal,Dublin,400,5,11,norte,B,S5
1278,agregada,Limerick,395,10,2,oeste,A,S4
1292,agregada,Cavan,113,4,20,leste,C,S6
1314,agregada,Waterford,217,20,1,oeste,A,S4
1352,principal,Dublin,400,6,7,oeste,A,S4
2847,agregada,Leitrim,29,8,8,oeste,A,S4
2855,agregada,Longford,76,2,10,norte,B,S5
3054,principal,Dublin,400,7,22,leste,C,S6
3078,principal,Dublin,400,8,8,oeste,A,S4
3108,principal,Dublin,398,9,13,norte,B,S5
3142,principal,Dublin,398,10,2,oeste,A,S4
3161,principal,Dublin,397,11,3,oeste,A,S4
3179,principal,Dublin,398,12,9,oeste,A,S4
3181,agregada,Outros Locais Da Irlanda,375,16,14,norte,B,S5
3216,principal,Dublin,398,13,23,leste,C,S6
3229,principal,Dublin,398,14,26,leste,C,S6
3245,principal,Dublin,397,15,25,leste,C,S6
3302,principal,Dublin,396,16,14,norte,B,S5
3305,principal,Dublin,397,17,15,norte,B,S5
3306,principal,Dublin,396,18,16,norte,B,S5
3307,agregada,Cork,394,11,3,oeste,A,S4
3308,principal,Dublin,399,19,17,norte,B,S5
3309,principal,Dublin,398,20,1,oeste,A,S4
3311,principal,Dublin,397,21,4,oeste,A,S4
3313,principal,Dublin,397,22,5,oeste,A,S4
3315,principal,Dublin,395,23,12,norte,B,S5
3322,principal,Dublin,398,24,21,leste,C,S6
3422,agregada,Galway,358,9,13,norte,B,S5
3442,principal,Dublin,398,25,28,leste,C,S6
3688,principal,Dublin,400,26,27,leste,C,S6
3752,agregada,Dublin,396,24,21,leste,C,S6
3778,agregada,Dublin,397,23,12,norte,B,S5
3821,agregada,Cork,208,14,26,leste,C,S6
3832,principal,Dublin,400,27,18,norte,B,S5
3845,agregada,Limerick,73,5,11,norte,B,S5
3862,principal,Dublin,400,28,24,leste,C,S6
3889,agregada,Dublin,400,22,5,oeste,A,S4
3913,agregada,Dublin,233,21,4,oeste,A,S4
