mrv,mesa_numero_eleitor,secao_principal,secao_agregada,aptos,esperado,classe,parede,entrada,porta,x_m,y_m,rot_graus,lado
1,19,0511,1100,582,375,baixa,leste,C,S6,47.30,35.55,180,1
2,10,0512,2855,476,355,baixa,norte,B,S5,11.86,44.40,270,1
3,6,0513,1105,502,351,baixa,oeste,A,S4,0.00,25.92,0,1
4,20,0517,1292,513,348,baixa,leste,C,S6,47.30,31.65,180,-1
5,11,1160,3845,473,328,baixa,norte,B,S5,15.76,44.40,270,-1
6,7,1352,0522,462,328,baixa,oeste,A,S4,0.00,29.82,0,-1
7,22,3054,1099,454,325,baixa,leste,C,S6,47.30,26.05,180,1
8,8,3078,2847,429,311,baixa,oeste,A,S4,0.00,32.22,0,1
9,13,3108,3422,756,467,media,norte,B,S5,25.23,44.40,270,1
10,2,3142,1278,793,466,media,oeste,A,S4,0.00,11.93,0,-1
11,3,3161,3307,791,504,media,oeste,A,S4,0.00,14.33,0,1
12,9,3179,0530,676,423,baixa,oeste,A,S4,0.00,36.12,0,-1
13,23,3216,0527,571,407,baixa,leste,C,S6,47.30,22.15,180,-1
14,26,3229,3821,606,405,baixa,leste,C,S6,47.30,13.45,180,1
15,25,3245,0519,781,498,media,leste,C,S6,47.30,15.85,180,-1
16,14,3302,3181,771,518,media,norte,B,S5,29.13,44.40,270,-1
17,15,3305,0521,767,472,media,norte,B,S5,31.53,44.40,270,1
18,16,3306,0518,766,515,media,norte,B,S5,35.43,44.40,270,-1
19,17,3308,,399,295,baixa,norte,B,S5,37.83,44.40,270,1
20,1,3309,1314,615,395,baixa,oeste,A,S4,0.00,8.03,0,1
21,4,3311,3913,630,466,media,oeste,A,S4,0.00,18.23,0,-1
22,5,3313,3889,797,590,alta,oeste,A,S4,0.00,23.12,0,1
23,12,3315,3778,792,586,alta,norte,B,S5,18.56,44.40,270,1
24,21,3322,3752,794,588,alta,leste,C,S6,47.30,28.85,180,1
25,28,3442,,398,295,baixa,leste,C,S6,47.30,7.15,180,1
26,27,3688,,400,296,baixa,leste,C,S6,47.30,9.55,180,-1
27,18,3832,,400,296,baixa,norte,B,S5,41.73,44.40,270,-1
28,24,3862,,400,296,baixa,leste,C,S6,47.30,19.75,180,1
