"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"DT_ELEICAO";"DS_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"CD_TIPO_SECAO_AGREGADA";"DS_TIPO_SECAO_AGREGADA";"NR_SECAO_PRINCIPAL";"NR_LOCAL_VOTACAO";"NM_LOCAL_VOTACAO";"CD_TIPO_LOCAL";"DS_TIPO_LOCAL";"DS_ENDERECO";"NM_BAIRRO";"NR_CEP";"NR_TELEFONE_LOCAL";"NR_LATITUDE";"NR_LONGITUDE";"CD_SITU_LOCAL_VOTACAO";"DS_SITU_LOCAL_VOTACAO";"CD_SITU_ZONA";"DS_SITU_ZONA";"CD_SITU_SECAO";"DS_SITU_SECAO";"CD_SITU_LOCALIDADE";"DS_SITU_LOCALIDADE";"CD_SITU_SECAO_ACESSIBILIDADE";"DS_SITU_SECAO_ACESSIBILIDADE";"QT_ELEITOR_SECAO";"QT_ELEITOR_ELEICAO_FEDERAL";"QT_ELEITOR_ELEICAO_ESTADUAL";"QT_ELEITOR_ELEICAO_MUNICIPAL";"NR_LOCAL_VOTACAO_ORIGINAL";"NM_LOCAL_VOTACAO_ORIGINAL";"DS_ENDERECO_LOCVT_ORIGINAL"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30228";"NOVA YORK";1;290;1;"Principal";-1;1082;"QUEENS COLLEGE";1;"Convencional";"65-30 KISSENA BLVD, FLUSHING, NY 11367";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";347;746;0;0;1082;"QUEENS COLLEGE";"65-30 KISSENA BLVD, FLUSHING, NY 11367"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30180";"MUNIQUE";1;112;1;"Principal";-1;1031;"DEUTSCH MEISTERSCHULE FÜR MODE (ESCOLA ALEMÃ DE MODA)";1;"Convencional";"SENDLINGER-TOR-PLATZ 14. 80336 MÜNCHEN";"ALEMANHA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";251;525;0;0;1031;"DEUTSCH MEISTERSCHULE FÜR MODE (ESCOLA ALEMÃ DE MODA)";"SENDLINGER-TOR-PLATZ 14. 80336 MÜNCHEN"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30198";"NAGÓIA";1;247;1;"Principal";-1;1287;"EMPRESA YUKAWA JINZAI SERVICE KK";1;"Convencional";"934-0093 TOYAMA-KEN, TAKAOKA-SHI, HIMENO 47-3";"JAPÃO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";362;722;0;0;1287;"EMPRESA YUKAWA JINZAI SERVICE KK";"934-0093 TOYAMA-KEN, TAKAOKA-SHI, HIMENO 47-3"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29262";"ABU DHABI";1;1978;1;"Principal";-1;1015;"CHANCELARIA DA EMBAIXADA EM ABU DHABI";1;"Convencional";"AL BATEEN GARDENS, C3 TOWER, ABU DHABI, PO BOX 3027";"EMIRADOS ÁRABES";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";292;584;0;0;1015;"CHANCELARIA DA EMBAIXADA EM ABU DHABI";"AL BATEEN GARDENS, C3 TOWER, ABU DHABI, PO BOX 3027"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30228";"NOVA YORK";1;325;1;"Principal";-1;1082;"QUEENS COLLEGE";1;"Convencional";"65-30 KISSENA BLVD, FLUSHING, NY 11367";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";347;745;0;0;1082;"QUEENS COLLEGE";"65-30 KISSENA BLVD, FLUSHING, NY 11367"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30767";"VIENA";1;965;1;"Principal";-1;1015;"EMBAIXADA DO BRASIL EM VIENA";1;"Convencional";"PESTALOZZIGASSE 4/2 VIENA, ÁUSTRIA";"ÁUSTRIA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";350;700;0;0;1015;"EMBAIXADA DO BRASIL EM VIENA";"PESTALOZZIGASSE 4/2 VIENA, ÁUSTRIA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29955";"LISBOA";1;3486;1;"Principal";-1;1031;"UNIVERSIDADE DE LISBOA (REITORIA, FACULDADE DE DIREITO, FACULDADE DE L";1;"Convencional";"ALAMEDA DA UNIVERSIDADE, CIDADE UNIVERSITÁRIA, 1649-014 LISBOA";"PORTUGAL";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";378;680;0;0;1031;"UNIVERSIDADE DE LISBOA (REITORIA, FACULDADE DE DIREITO, FACULDADE DE L";"ALAMEDA DA UNIVERSIDADE, CIDADE UNIVERSITÁRIA, 1649-014 LISBOA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29955";"LISBOA";1;3123;1;"Principal";-1;1031;"UNIVERSIDADE DE LISBOA (REITORIA, FACULDADE DE DIREITO, FACULDADE DE L";1;"Convencional";"ALAMEDA DA UNIVERSIDADE, CIDADE UNIVERSITÁRIA, 1649-014 LISBOA";"PORTUGAL";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";350;749;0;0;1031;"UNIVERSIDADE DE LISBOA (REITORIA, FACULDADE DE DIREITO, FACULDADE DE L";"ALAMEDA DA UNIVERSIDADE, CIDADE UNIVERSITÁRIA, 1649-014 LISBOA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29696";"FRANKFURT";1;1604;1;"Principal";-1;1031;"VOLKSHOCHSCHULE FRANKFURT AM MAIN";1;"Convencional";"SONNEMANNSTRASSE 13 - 60314 - FRANKFURT AM MAIN";"ALEMANHA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";284;486;0;0;1031;"VOLKSHOCHSCHULE FRANKFURT AM MAIN";"SONNEMANNSTRASSE 13 - 60314 - FRANKFURT AM MAIN"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30198";"NAGÓIA";1;167;1;"Principal";-1;1015;"GIFU MEMORIAL CENTER, DEAI DOME E FUREAI DOME";1;"Convencional";"502-0817 GIFU-KEN, GIFU-SHI, NAGARAFUKUMITSU, ONO 2675-28";"JAPÃO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";399;799;0;0;1015;"GIFU MEMORIAL CENTER, DEAI DOME E FUREAI DOME";"502-0817 GIFU-KEN, GIFU-SHI, NAGARAFUKUMITSU, ONO 2675-28"
